Comme	P
l'	DET
Arlésienne	NC
à	P
9	DET
h	NC
30	ADJ
,	PONCT
sur	P
une	DET
place	NC
de	P
la	DET
mairie	NC
pourtant	ADV
baignée	VPP
de	P
soleil	NC
,	PONCT
pas	ADV
la	DET
moindre	ADJ
ombre	NC
d'	P
un	DET
bénévole	NC
,	PONCT
aussi	ADV
bien	ADV
du	P+D
côté	NC
des	P+D
habitants	NC
,	PONCT
pourtant	ADV
prévenus	NC
par	P
un	DET
flash	ADJ
info	NC
déposé	VPP
dans	P
leur	DET
boîte	NC
aux	P+D
lettres	NC
,	PONCT
pas	ADV
plus	ADV
qu'	CS
un	DET
représentant	NC
du	P+D
monde	NC
associatif	ADJ
prévenu	VPP
lui	CLO
par	P
une	DET
lettre	NC
personnalisée	VPP
.	PONCT
Seul	ADJ
,	PONCT
le	DET
Football-Club	NPP
,	PONCT
par	P
l'	DET
intermédiaire	NC
de	P
son	DET
président	NC
,	PONCT
s'	CLR
est	V
manifesté	VPP
pour	P
faire	VINF
savoir	VINF
que	CS
son	DET
club	NC
participera	V
à	P
l'	DET
opération	NC
jeudi	NC
par	P
le	DET
nettoyage	NC
des	P+D
abords	NC
du	P+D
complexe	NC
sportif	ADJ
.	PONCT
Assisté	VPP
d'	P
un	DET
employé	NC
municipal	ADJ
,	PONCT
Jean-Marie	NPP
Henry	NPP
,	PONCT
responsable	NC
des	P+D
espaces	NC
verts	ADJ
dans	P
la	DET
commune	NC
,	PONCT
était	V
plutôt	ADV
désabusé	VPP
par	P
ce	DET
constat	NC
d'	P
échec	NC
.	PONCT
"	PONCT
C'	CLS
est	V
toujours	ADV
pareil	ADJ
"	PONCT
,	PONCT
disait	V
-il	CLS
amèrement	ADV
,	PONCT
"	PONCT
les	DET
gens	NC
râlent	V
à	P
longueur	NC
de	P
journée	NC
à_propos_du	P+D
manque	NC
de	P
civisme	NC
de	P
leurs	DET
concitoyens	NC
mais	CC
dès_qu'	CS
on	CLS
les	CLO
sollicite	V
pour	P
améliorer	VINF
la	DET
qualité	NC
de	P
l'	DET
environnement	NC
,	PONCT
il	CLS
n'	ADV
y	CLO
a	V
personne	PRO
,	PONCT
la	DET
preuve	NC
...	PONCT
"	PONCT
